Category,Task,Score (0-10),Owner,Impact (H/M/L),Next Step,Due
Content,Pillar: Base Building,0,AI,H,Approve outline & add screenshots,
Content,Pillar: Heroes & Tier List,0,AI,H,Define hero attributes CSV,
Content,Pillar: Events & Seasons,0,AI,H,Add upcoming dates,
Content,Pillar: Alliances & War,0,AI,M,Collect best practices,
Content,Content Calendar,0,AI,H,Approve monthly topics,
Content,Visual Assets (Infographics/Tables),0,AI,M,List required visuals & specs,
Content,Glossary (A–Z),0,AI,M,Seed term list & definitions,
Content,FAQ Library,0,AI,M,Install FAQ collection page,
Content,Update Cadence (Monthly Refresh),0,AI,M,Create monthly audit job,
SEO,Canonical & Domain Strategy,0,AI,H,Decide final domain & audit canonicals,
SEO,Sitemap & Robots,0,AI,H,Add nightly sitemap build to CI,
SEO,Titles & Meta Descriptions,0,AI,M,Run SEO linter and suggest improvements,
SEO,Headings & URL Slugs,0,AI,M,Auto-fix heading levels; propose slugs,
SEO,Internal Linking Map,0,AI,H,Generate link graph & suggestions,
SEO,Structured Data (Article/FAQ/SoftwareApplication),0,AI,M,Add JSON-LD templates,
SEO,Breadcrumbs (UI + JSON-LD),0,AI,M,Wire breadcrumbs to laAIt,
SEO,"Image SEO (alt, dimensions, captions)",0,AI,M,Batch-generate alt texts,
SEO,Hreflang (future locales),0,AI,L,Define target locales,
UX,Navigation IA & Hub Pages,0,AI,H,Approve IA map for Heroes/Base/Events/Tools,
UX,On-Site Search,0,AI,H,Implement Lunr/Pagefind search box,
UX,Table of Contents (long guides),0,AI,M,Add ToC component,
UX,Related Content Component,0,AI,M,Insert 3–5 related links per page,
UX,Readable LaAIt Tokens (typography/spacing),0,AI,M,Apply design tokens & test mobile,
UX,Dark/Light Theme Toggle,0,AI,L,Implement preference toggle,
UX,Accessibility (a11y) Fixes,0,AI,H,Run Lighthouse/axe and fix criticals,
Performance,"Image Pipeline (WebP/AVIF, srcset, lazy)",0,AI,H,Convert assets & update <img> tags,
Performance,"Font Loading (preconnect, swap)",0,AI,M,Update head with font hints,
Performance,Critical CSS (above-the-fold),0,AI,M,Extract & inline critical CSS,
Performance,JS Defer/Code-Split,0,AI,M,Mark non-critical scripts as defer,
Performance,HTTP Hints (preconnect/prefetch),0,AI,L,Insert resource hints,
Performance,PWA Caching (manifest + SW),0,AI,M,Generate service worker & cache assets,
